date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
23/12/2022,Tasmania,TAS,4072,277091,6,223,NA,0,4072,0,0,0,0,0,0,0,0,0,0,98
24/05/2022,Western Australia,WA,11944,672008,6,225,17429,3772477,11944,672008,1257,-11,312,3,12,0,0,6040,6477979,98
3/06/2022,Western Australia,WA,7043,759435,6,278,10663,3896089,7043,759435,1257,-10,275,3,9,0,0,6711,6534807,181
18/09/2021,New South Wales,NSW,1308,50919,6,283,120954,15693965,1308,50919,2802,-26,1219,5,233,11,123,140464,8803283,83
8/04/2022,South Australia,SA,6370,304102,6,283,17955,4352844,6370,304102,1980,-8,202,-1,11,-1,1,3875,3914869,83
12/04/2022,South Australia,SA,5275,326028,6,291,12796,4404292,5275,326028,1980,-4,232,-1,12,0,2,3505,3926314,83
10/06/2022,Western Australia,WA,7174,804215,6,315,10108,3960198,7174,804215,1257,-14,279,0,16,0,0,5986,6561629,83
23/09/2021,New South Wales,NSW,1043,55962,6,321,139182,16313079,1043,55962,2802,12,1244,-9,233,-10,112,125615,9312486,83
25/04/2022,South Australia,SA,3296,385770,6,329,7471,4551567,3296,385770,1980,-9,247,0,11,-1,1,1012,3961223,83
14/06/2022,Western Australia,WA,6064,826139,6,330,9332,3987531,6064,826139,1257,25,278,5,12,0,0,4613,6573566,83
26/04/2022,South Australia,SA,3769,389539,6,335,7150,4558717,3769,389539,1980,7,254,-1,10,0,1,148,3961371,83
21/06/2022,Western Australia,WA,4885,860740,6,371,9037,4044345,4885,860740,1257,-9,259,-4,8,0,0,4011,6598416,83
14/02/2022,Queensland,QLD,1307,353399,6,378,5905,6709383,1307,353399,2210,18,514,-4,41,0,20,7452,10022264,83
30/09/2021,New South Wales,NSW,933,62353,6,392,120993,17126433,933,62353,2802,8,1090,1,213,-3,105,114338,10077159,83
18/05/2022,South Australia,SA,4138,472745,6,417,11887,4765923,4138,472745,1980,1,247,3,10,-2,1,5170,4050399,83
4/10/2021,New South Wales,NSW,611,65279,6,433,76892,17502135,611,65279,2802,-22,959,-2,193,4,97,29762,10417307,83
13/07/2022,Western Australia,WA,6809,974334,6,449,10972,4205062,6809,974334,1257,23,320,4,10,0,0,12181,6681614,83
21/02/2022,Queensland,QLD,1508,368795,6,466,5755,6778594,1508,368795,2210,15,401,-1,37,0,20,5069,10169506,83
10/10/2021,New South Wales,NSW,466,68712,6,486,86155,18060080,466,68712,2802,-18,794,-4,159,1,76,75640,11012744,83
16/06/2022,South Australia,SA,3025,557199,6,501,9084,5003043,3025,557199,1980,-24,222,0,8,0,0,4130,4155354,83
14/10/2021,New South Wales,NSW,398,70391,6,509,85133,18423207,398,70391,2802,-5,711,-7,143,-1,75,112935,11410857,83
31/07/2022,Western Australia,WA,3252,1064844,6,524,3156,4346037,3252,1064844,1257,-2,415,-1,14,0,0,0,6753552,83
27/06/2022,South Australia,SA,2137,583771,6,541,5603,5081095,2137,583771,1980,-6,210,0,9,0,0,480,4186989,83
3/07/2022,South Australia,SA,2413,600453,6,550,5567,5125644,2413,600453,1980,-5,226,0,8,0,1,989,4203996,83
3/03/2022,Queensland,QLD,2827,386380,6,573,10536,6853231,2827,386380,2210,3,315,0,26,0,6,13104,10320475,83
